0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
180.0128 	EXP 	LowerText: autoDraw = True
180.0128 	EXP 	LowerBrackets: autoDraw = True
180.0128 	EXP 	TrialCrossHair: autoDraw = False
180.0128 	EXP 	RestCrossHair: autoDraw = True
180.0294 	EXP 	LowerText: autoDraw = False
180.0294 	EXP 	LowerBrackets: autoDraw = False
183.9989 	EXP 	New trial (rep=0, index=3): {'RetDur': 5, 'BotBrack': 5, 'StimDur': 2, 'UpBrack': 3456, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': 'KDMWTN', 'RetStart': 2, 'ProbeLet': 'lbygxq', 'TrialITIDur': 13, 'Correct': 'right'}
184.0323 	EXP 	window1: recordFrameIntervals = False
184.0479 	EXP 	TopUpperLine: autoDraw = False
184.0479 	EXP 	BotUpperLine: autoDraw = False
184.0479 	EXP 	TopLowerLine: autoDraw = False
184.0479 	EXP 	BotLowerLine: autoDraw = False
184.0479 	EXP 	RestCrossHair: autoDraw = False
184.0479 	EXP 	TopUpperLine: autoDraw = False
184.0479 	EXP 	UpperText: autoDraw = False
184.0479 	EXP 	UpperBrackets: autoDraw = False
184.0479 	EXP 	BotUpperLine: autoDraw = False
184.0479 	EXP 	TopLowerLine: autoDraw = False
184.0479 	EXP 	LowerText: autoDraw = False
184.0479 	EXP 	LowerBrackets: autoDraw = False
184.0479 	EXP 	BotLowerLine: autoDraw = False
184.0479 	EXP 	TrialCrossHair: autoDraw = False
184.0479 	EXP 	RestCrossHair: autoDraw = False
184.0479 	EXP 	UpperText: text = ' K D M W T N '
184.0479 	EXP 	UpperBrackets: text = '    {       }'
184.0479 	EXP 	LowerText: text = ' l b y g x q '
184.0479 	EXP 	LowerBrackets: text = '        { }  '
184.0479 	EXP 	TopUpperLine: autoDraw = True
184.0479 	EXP 	UpperText: autoDraw = True
184.0479 	EXP 	UpperBrackets: autoDraw = True
184.0479 	EXP 	BotUpperLine: autoDraw = True
184.0479 	EXP 	TopLowerLine: autoDraw = True
184.0479 	EXP 	BotLowerLine: autoDraw = True
184.0479 	EXP 	TrialCrossHair: autoDraw = True
184.0481 	EXP 	window1: recordFrameIntervals = False
186.0153 	EXP 	UpperText: autoDraw = False
186.0153 	EXP 	UpperBrackets: autoDraw = False
191.0171 	EXP 	LowerText: autoDraw = True
191.0171 	EXP 	LowerBrackets: autoDraw = True
192.2677 	DATA 	Keypress: right
193.0173 	EXP 	LowerText: autoDraw = False
193.0173 	EXP 	LowerBrackets: autoDraw = False
193.0173 	EXP 	TrialCrossHair: autoDraw = False
