94.6398 	EXP 	RestCrossHair: autoDraw = False
94.6398 	EXP 	UpperText: text = u' H Q D T G F '
94.6398 	EXP 	UpperBrackets: text = '    {   }    '
94.6398 	EXP 	LowerText: text = u' l b w n r x '
94.6398 	EXP 	LowerBrackets: text = '      { }    '
94.6398 	EXP 	TopUpperLine: autoDraw = True
94.6398 	EXP 	UpperText: autoDraw = True
94.6398 	EXP 	UpperBrackets: autoDraw = True
94.6398 	EXP 	BotUpperLine: autoDraw = True
94.6398 	EXP 	TopLowerLine: autoDraw = True
94.6398 	EXP 	BotLowerLine: autoDraw = True
94.6398 	EXP 	TrialCrossHair: autoDraw = True
94.6400 	EXP 	window1: recordFrameIntervals = False
96.6074 	EXP 	UpperText: autoDraw = False
96.6074 	EXP 	UpperBrackets: autoDraw = False
101.6100 	EXP 	LowerText: autoDraw = True
101.6100 	EXP 	LowerBrackets: autoDraw = True
102.4278 	DATA 	Keypress: right
103.6111 	EXP 	LowerText: autoDraw = False
103.6111 	EXP 	LowerBrackets: autoDraw = False
103.6111 	EXP 	TrialCrossHair: autoDraw = False
103.6111 	EXP 	RestCrossHair: autoDraw = True
108.0966 	EXP 	TopUpperLine: autoDraw = False
108.0966 	EXP 	BotUpperLine: autoDraw = False
108.0966 	EXP 	TopLowerLine: autoDraw = False
108.0966 	EXP 	BotLowerLine: autoDraw = False
108.0966 	EXP 	RestCrossHair: autoDraw = False
108.0966 	EXP 	TopUpperLine: autoDraw = False
108.0966 	EXP 	UpperText: autoDraw = False
108.0966 	EXP 	UpperBrackets: autoDraw = False
108.0966 	EXP 	BotUpperLine: autoDraw = False
108.0966 	EXP 	TopLowerLine: autoDraw = False
108.0966 	EXP 	LowerText: autoDraw = False
108.0966 	EXP 	LowerBrackets: autoDraw = False
108.0966 	EXP 	BotLowerLine: autoDraw = False
108.0966 	EXP 	TrialCrossHair: autoDraw = False
108.0966 	EXP 	RestCrossHair: autoDraw = False
108.0966 	EXP 	FeedbackMsg: text = 'Correct! RT=0.835'
108.0966 	EXP 	FeedbackMsg: autoDraw = True
109.5976 	EXP 	FeedbackMsg: autoDraw = False
109.5976 	EXP 	RestCrossHair: autoDraw = True
110.5819 	EXP 	New trial (rep=0, index=7): {'RetDur': 5, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 34, 'ProbeDurITI': 4.2469999999999999, 'ProbeDur': 0, 'ProbeStart': 7, 'TrialDur': 7, 'ITI': 4.2469999999999999, 'StimSet': u'KBTDYW', 'RetStart': 2, 'ProbeLet': u' ', 'TrialITIDur': 11.247, 'Correct': u'none'}
110.6007 	EXP 	window1: recordFrameIntervals = False
110.6147 	EXP 	RestCrossHair: autoDraw = False
110.6147 	EXP 	UpperText: text = u' K B T D Y W '
110.6147 	EXP 	UpperBrackets: text = '    {   }    '
110.6147 	EXP 	LowerText: text = u'   '
110.6147 	EXP 	LowerBrackets: text = ''
110.6147 	EXP 	TopUpperLine: autoDraw = True
110.6147 	EXP 	UpperText: autoDraw = True
110.6147 	EXP 	UpperBrackets: autoDraw = True
110.6147 	EXP 	BotUpperLine: autoDraw = True
110.6147 	EXP 	TopLowerLine: autoDraw = True
110.6147 	EXP 	BotLowerLine: autoDraw = True
110.6147 	EXP 	TrialCrossHair: autoDraw = True
110.6151 	EXP 	window1: recordFrameIntervals = False
112.5991 	EXP 	UpperText: autoDraw = False
112.5991 	EXP 	UpperBrackets: autoDraw = False
117.6017 	EXP 	LowerText: autoDraw = True
117.6017 	EXP 	LowerBrackets: autoDraw = True
117.6017 	EXP 	TrialCrossHair: autoDraw = False
117.6017 	EXP 	RestCrossHair: autoDraw = True
117.6183 	EXP 	LowerText: autoDraw = False
117.6183 	EXP 	LowerBrackets: autoDraw = False
121.8372 	EXP 	TopUpperLine: autoDraw = False
121.8372 	EXP 	BotUpperLine: autoDraw = False
121.8372 	EXP 	TopLowerLine: autoDraw = False
121.8372 	EXP 	BotLowerLine: autoDraw = False
